,fecha,sistema,dmin,dmax
582,19/10/2006,SING,1046.16,1167.75
583,20/10/2006,SIC,3880.56,5653.83
584,20/10/2006,SING,1069.15,1213.48
585,21/10/2006,SIC,3833.07,5280.86
586,21/10/2006,SING,955.78,1196.77
587,22/10/2006,SIC,3354.3,5116.52
588,22/10/2006,SING,952.11,1138.57
589,23/10/2006,SIC,3618.92,5746.23
590,23/10/2006,SING,1045.26,1116.6
591,24/10/2006,SIC,3921.73,5755.95
592,24/10/2006,SING,982.74,1098.92
593,25/10/2006,SIC,3938.2,5679.65
594,25/10/2006,SING,933.62,1081.04
595,26/10/2006,SIC,3833.65,5598.35
596,26/10/2006,SING,976.84,1067.44
597,27/10/2006,SIC,3815.48,5594.39
598,27/10/2006,SING,1050.27,1132.03
599,28/10/2006,SIC,3829.6,5261.09
600,28/10/2006,SING,1038.66,1137.86
601,29/10/2006,SIC,3221.99,5026.3
602,29/10/2006,SING,1024.47,1166.53
603,30/10/2006,SIC,3562.55,5623.88
604,30/10/2006,SING,939.91,1128.21
605,31/10/2006,SING,882.8,1047.95
606,01/11/2006,SIC,3355.6,5103.4
607,01/11/2006,SING,1271.45,1538.96
608,02/11/2006,SIC,3623.11,5541.19
609,02/11/2006,SING,1223.71,1506.14
610,03/11/2006,SIC,3811.96,5568.9
611,03/11/2006,SING,1383.42,1603.24
612,04/11/2006,SIC,3753.6,5184.0
613,04/11/2006,SING,1501.62,1638.66
614,05/11/2006,SIC,3283.28,5042.59
615,05/11/2006,SING,1513.11,1615.38
616,06/11/2006,SIC,3521.87,5651.18
617,06/11/2006,SING,1471.5,1573.49
618,07/11/2006,SIC,3857.74,5721.69
619,07/11/2006,SING,1474.63,1560.99
